"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank"
"124693","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Tepidimonas",NA,"p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Comamonadaceae_g__Tepidimonas"
"4452280","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__",NA,"p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_g__"
"505670","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__[Tissierellaceae]","g__WAL_1855D",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__[Tissierellaceae]_g__WAL_1855D"
"4476548","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Methylobacteriaceae","g__Methylobacterium",NA,"p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Methylobacteriaceae_g__Methylobacterium"
"3757787","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Dysgonomonas",NA,"p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Porphyromonadaceae_g__Dysgonomonas"
"109591","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Dermabacteraceae","g__Dermabacter",NA,"p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Dermabacteraceae_g__Dermabacter"
"156434","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__","g__",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Chromatiales_f___g__"
"4436552","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella",NA,"p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Prevotellaceae_g__Prevotella"
"9912","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Erwinia",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Erwinia"
"4470260","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__","g__",NA,"p__Firmicutes_c__Bacilli_o__Bacillales_f___g__"
"4476950","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__[Tissierellaceae]","g__Anaerococcus",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__[Tissierellaceae]_g__Anaerococcus"
"4325509","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Robinsoniella",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Robinsoniella"
"1696853","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Carnobacteriaceae","g__Granulicatella",NA,"p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Carnobacteriaceae_g__Granulicatella"
"1126230","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Dermabacteraceae","g__Devriesea",NA,"p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Dermabacteraceae_g__Devriesea"
"370368","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Paracoccus",NA,"p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Paracoccus"
"256783","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Rhodobacter",NA,"p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Rhodobacter"
"1061145","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__",NA,"p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Beijerinckiaceae_g__"
"4427546","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingobium",NA,"p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f__Sphingomonadaceae_g__Sphingobium"
"3228684","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__",NA,"p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__"
"4393056","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingopyxis",NA,"p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f__Sphingomonadaceae_g__Sphingopyxis"
"523577","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__[Tissierellaceae]","g__Gallicola",NA,"p__Firmicutes_c__Clostridia_o__Clostridiales_f__[Tissierellaceae]_g__Gallicola"
