"","Sample","Sample_name","Type","Location","Depth","Study_day","Sort1","Sort2","Stage","Stage1","Stage.1","Moisture","pH","EC","DO","CO2","NH4","NO3","TN","TC","CN_ratio","copies.gdw","log.copies.gdw","fungal.bacterial.ratio","log.f.b.ratio","Chao1","Shannon","InvSimpson","Phase","Donor"
"H72_CORE1","gr_15_sp1","H72_CORE1","gr15","grave","core","72","H","H","Advanced4","G_Advanced","Advanced5",0.445508982,6.39,1044,50.7,37.99830742,884.9405988,9.742730539,0.541,7.814,14.4426,3.05689e+11,11.48528029,0.04829,-1.316142666,1812.987097,4.356191793,34.12427443,"DECLINE","Donor1"
"H72_CORE2","gr_15_sp2","H72_CORE2","gr15","grave","core","72","H","H","Advanced4","G_Advanced","Advanced5",0.333127699,7.26,393.7,84.4,10.08277531,269.3806704,10.08200041,0.313,3.818,12.2141,24155400000,10.38301379,0.278548,-0.555100036,2886.6875,6.093158767,156.3864694,"DECLINE","Donor2"
"H72_CORE3","gr_15_sp3","H72_CORE3","gr15","grave","core","72","H","H","Advanced4","G_Advanced","Advanced5",0.416986301,6.06,234.2,75,38.94999979,89.45906849,2.662044932,0.449,6.957,15.5051,2483960000,9.395144214,0.830454,-0.080684569,2528.088608,5.316082339,74.09556186,"DECLINE","Donor3"
"H72_IN1","gr_int_sp1","H72_IN1","grint","grave","interface","72","H","H","Advanced4","G_Advanced","Advanced5",0.604120677,6.36,924.2,50.7,80.84668188,2514.191808,2.647868531,1.234,17.376,14.0811,2.3302e+10,10.36739334,0.373963,-0.427171827,1522.894737,4.425569623,15.45548989,"DECLINE","Donor1"
"H72_IN2","gr_int_sp2","H72_IN2","grint","grave","interface","72","H","H","Advanced4","G_Advanced","Advanced5",0.56294964,7.69,914.9,84.4,66.85186993,1527.731175,10.43216787,1.136,13.776,12.1313,31361100000,10.49639087,0.13311,-0.875789651,1483.556604,5.104194599,63.46894659,"DECLINE","Donor2"
"H72_IN3","gr_int_sp3","H72_IN3","grint","grave","interface","72","H","H","Advanced4","G_Advanced","Advanced5",0.399428027,6.98,638.8,75,68.71810818,995.2732126,25.67483953,0.903,12.271,13.5945,53095800000,10.72506041,0.45462,-0.342351844,2479.439024,5.653770185,103.8633848,"DECLINE","Donor3"
"J86","con15_mean","J86","con15","control","core","86","J","con","Advanced5_transition","Control","Advanced6",0.367500005,7.17,40.36666667,97.76666667,1.752686632,6.810963137,7.888749947,0.481666667,6.190333333,12.85553333,16418400000,10.21533143,0.0390253,-1.408653585,4924.6375,6.112459242,93.70849171,"DECLINE","Control"
"J86_CONINT","conint_mean","J86_CONINT","conint","control","interface","86","J","con","Advanced5_transition","Control","Advanced6",0.461795251,7.26,50.54666667,97.76666667,4.519357113,11.61239216,13.67462518,0.808,11.66733333,14.439,26521700000,10.42360106,0.0430966,-1.365556793,4465.160494,6.294085535,124.6111623,"DECLINE","Control"
"J86_CORE1","gr_15_sp1","J86_CORE1","gr15","grave","core","86","J","J","Advanced5_transition","G_Advanced","Advanced6",0.433776465,6.21,498.3,72,52.61327186,618.2444116,26.77147415,0.445,5.904,13.2707,442714000,8.646122863,0.660547,-0.180096099,2941.62931,4.730905407,13.14647181,"DECLINE","Donor1"
"J86_CORE2","gr_15_sp2","J86_CORE2","gr15","grave","core","86","J","J","Advanced5_transition","G_Advanced","Advanced6",0.436835106,6.7,203.9,88.2,8.740563431,102.3026596,36.27721277,0.446,5.803,13.0186,3126490000,9.495056743,0.129466,-0.887845621,3797.512195,6.025469508,91.37157877,"DECLINE","Donor2"
"J86_CORE3","gr_15_sp3","J86_CORE3","gr15","grave","core","86","J","J","Advanced5_transition","G_Advanced","Advanced6",0.434302909,6.49,240.3,94.3,24.93964394,191.7184888,3.516910732,0.41,5.48,13.3714,108805000,8.036648872,2.83295,0.452238352,3091.131868,6.179416573,172.7959337,"DECLINE","Donor3"
"J86_IN1","gr_int_sp1","J86_IN1","grint","grave","interface","86","J","J","Advanced5_transition","G_Advanced","Advanced6",1.013986014,6.54,1202,72,102.6277082,4313.152448,0.835132867,1.627,27.451,16.8683,54631400000,10.73744227,0.189896,-0.72148305,1508.852071,4.618355345,17.20775821,"DECLINE","Donor1"
"J86_IN2","gr_int_sp2","J86_IN2","grint","grave","interface","86","J","J","Advanced5_transition","G_Advanced","Advanced6",0.623160589,6.95,409,88.2,55.71551591,440.6339945,52.09696225,0.863,12.634,14.6388,6749870000,9.829295723,0.339646,-0.468973173,1639.641892,5.526975197,108.1844298,"DECLINE","Donor2"
"J86_IN3","gr_int_sp3","J86_IN3","grint","grave","interface","86","J","J","Advanced5_transition","G_Advanced","Advanced6",0.887931034,6.77,551,94.3,87.81927283,931.8827586,69.91889655,1.479,22.446,15.1791,1854760000,9.268288536,1.66431,0.221234029,4258.509978,6.150547906,188.6248251,"DECLINE","Donor3"
"K103","con15_mean","K103","con15","control","core","103","K","con","Advanced1","Control","Advanced7",0.36748779,7.293333333,56.66333333,97.2,2.049199366,6.703964305,5.886210875,0.430666667,5.602,13.00283333,2948880000,9.469656499,0.0319835,-1.495073644,4908.469582,6.792688751,255.6745309,"DECLINE","Control"
"K103_CONINT","conint_mean","K103_CONINT","conint","control","interface","103","K","con","Advanced1","Control","Advanced7",0.465710931,6.95,49.69333333,97.2,3.441055522,10.7432175,9.7583618,0.795,11.76933333,14.75393333,1418770000,9.151912126,0.128036,-0.892667235,4346.632385,6.657573554,215.2186756,"DECLINE","Control"
"K103_CORE1","gr_15_sp1","K103_CORE1","gr15","grave","core","103","K","K","Advanced1","G_Advanced","Advanced7",0.377077364,5.76,581,71.5,32.51203461,281.3277249,78.36488252,0.625,10.874,17.3976,10894800000,10.03721933,0.191799,-0.717153503,3277.218487,6.26762869,177.7968251,"DECLINE","Donor1"
