"","Proteobacteria","Verrucomicrobia","Actinobacteria","Acidobacteria","Chloroflexi","Entotheonellaeota","Rokubacteria","Bacteria_unclassified","Bacteroidetes","Firmicutes","Nitrospirae","Planctomycetes","Dependentiae","Epsilonbacteraeota","Gemmatimonadetes","Cyanobacteria","Chlamydiae","Latescibacteria","Deinococcus-Thermus","FBP","BRC1","Armatimonadetes","Fibrobacteres","Patescibacteria","Elusimicrobia","WPS-2","RsaHf231","Fusobacteria","Tenericutes","Hydrogenedentes","Synergistetes","WS2","Spirochaetes","GAL15","Lentisphaerae","Kiritimatiellaeota","FCPU426","Omnitrophicaeota"
"WIN_D55_IN2",5959.51621561878,53.9994315849307,621.151356301513,84.9464742476395,54.3152177345502,1.57893074809739,5.6841506931506,13.2630182840181,1405.5641519563,1711.56093093757,0.631572299238955,47.0521362933022,0.631572299238955,31.2628288123283,5.05257839391164,0,0.631572299238955,0,0,0,0,0.631572299238955,0,0.631572299238955,0,0,1.89471689771687,0,0,0,0,0,0,0,0,0,0,0
"WIN_D55_IN3",4595.69230769231,259.384615384615,1644.30769230769,633.538461538462,274.153846153846,19.3846153846154,53.5384615384615,43.6923076923077,1237.84615384615,794.461538461538,9.23076923076923,365.538461538462,3.07692307692308,1.53846153846154,30.7692307692308,7.38461538461538,3.38461538461538,0.923076923076923,0,1.23076923076923,1.84615384615385,5.23076923076923,1.53846153846154,6.46153846153846,0.307692307692308,0.307692307692308,1.23076923076923,1.84615384615385,0,1.53846153846154,0,0.615384615384615,0,0,0,0,0,0
"WIN_E75",2348.63046612206,846.948582412302,2923.67451545731,1710.71600192215,587.858401409579,96.9085375620695,311.949383309306,115.329168668909,155.374018901169,142.960115329169,36.8412622136793,578.648085856159,20.0224251161301,0,64.0717603716162,5.60627903251642,10.8121095627102,16.0179400929041,0,0.400448502322601,0.800897004645203,10.011212558065,2.00224251161301,5.20583053019382,5.60627903251642,0,0,0,0,0,0,0.400448502322601,0,0.800897004645203,0,0.400448502322601,0.400448502322601,1.60179400929041
"WIN_E75_CONINT",2674.8396112558,709.204090706981,2969.57377882233,1584.19615067014,574.223464396875,67.9667153655593,119.735755573906,79.4003684177095,358.572063774376,88.9284126278346,25.7257193673379,626.310106078892,7.62243536810011,0,56.2154608397383,6.66963094708759,13.656863367846,10.4808486311376,0,0,2.85841326303754,6.98723242075843,2.22321031569586,7.94003684177095,3.81121768405005,0.635202947341676,0,0,0,0,0,0.317601473670838,1.27040589468335,0,0,0,0,0.635202947341676
"WIN_E75_CORE1",4052.22121486854,440.616500453309,1082.13961922031,594.016319129646,217.588395285585,30.4623753399819,90.2991840435177,33.7262012692656,1381.68631006346,1354.85040797824,9.79147778785132,296.645512239347,4.3517679057117,316.591115140526,31.5503173164098,1.08794197642792,3.98912058023572,9.42883046237534,0,0.725294650951949,1.4505893019039,5.43970988213962,1.4505893019039,1.4505893019039,1.4505893019039,0,0,0,36.2647325475975,0,0,0.362647325475975,0,0.362647325475975,0,0,0,0
"WIN_E75_CORE2",3098.96627220575,856.636089016989,2346.81151788931,1106.06102596791,458.664745170856,55.9820414045395,215.059723415459,85.6358950198154,391.597151012942,733.309314635701,16.3511903112269,503.838372640856,11.0855527533742,8.03702574619627,55.9820414045395,4.71135992018402,5.81991519552144,14.4112185793864,0,0.831416456503062,1.66283291300612,13.5798021228834,3.32566582601225,5.81991519552144,1.93997173184048,0.277138818834354,0,0.831416456503062,0,0.831416456503062,0,0.554277637668708,0,0,0,0,0.277138818834354,1.10855527533742
"WIN_E75_CORE3",2414.15504573399,452.091767881242,2589.2187734293,1072.12475633528,461.463487779277,46.8585994901784,183.685710001499,88.8439046333783,389.863547758285,1683.91063127905,12.7455390613285,505.698005698006,10.1214574898785,0,49.8575498575499,2.24921277552856,8.62198230619283,9.37171989803569,0,0,0.374868795921427,6.74763832658569,1.87434397960714,6.37276953066427,1.49947518368571,0,0,0,0,0.374868795921427,0,0.749737591842855,0,0.374868795921427,0,0,0.749737591842855,0
"WIN_E75_IN1",3687.54614816638,99.6800393797686,794.056116170317,131.060792517844,103.679547132661,5.5377799655427,8.6143243908442,17.2286487816884,617.770120600542,4420.99433915826,2.4612355402412,87.3738616785626,0.30765444253015,7.3837066207236,3.99950775289195,2.4612355402412,3.6918533103618,0.6153088850603,0,0,1.53827221265075,2.4612355402412,0.30765444253015,0.6153088850603,0,0.30765444253015,0,0,0,0.30765444253015,0,0,0,0,0,0,0,0
"WIN_E75_IN2",3581.64634668646,471.975558918425,2231.39080033121,667.275790195015,379.75044970448,27.6960854295749,53.1079576278446,37.975044970448,457.128172914942,1580.39002940925,6.85263969391543,427.433400907975,1.998686577392,1.71315992347886,33.6921451617509,4.28289980869714,8.28027296348114,1.14210661565257,0,0,2.56973988521828,7.70921965565486,3.71184650087086,7.42369300174171,2.28421323130514,0.571053307826286,0,0,0,0.856579961739428,0,0.285526653913143,0.285526653913143,0,0,0.285526653913143,0,0.285526653913143
"WIN_E75_IN3",2931.79946332262,316.427110178273,3196.9499721034,656.234225138819,265.150508780786,26.0368235075321,80.2359255028029,39.320917133824,822.551077339993,1267.8338956933,11.9556842636627,329.97688567709,3.45386434283589,0.531363745051675,23.1143229097479,3.18818247031005,3.45386434283589,2.92250059778421,0,1.59409123515503,2.39113685273254,4.2509099604134,0.531363745051675,7.43909243072345,1.59409123515503,0.531363745051675,0.265681872525838,0,0,0.265681872525838,0,0,0,0,0,0,0,0
