Sample_name,Sample,Type,Location,Depth,Sort1,Sort2,Stage,Stage1,Study day,Moisture,pH,EC,DO,CO2,NH4,NO3,TN,TC,CN_ratio,copies/gdw,log copies/gdw,fungal:bacterial ratio,log f:b ratio,Chao1,Shannon,InvSimpson
H110_INT3,gr_int_win3,grint,grave,interface,H,H,Advanced4,G_Advanced,126,0.658536585,6.85,367.2,99.3,63.81714099,834.1333333,115.9427642,1.388,16.017,11.5429,3.02218E+09,9.480319686,1.17736E-01,-0.929089255,657,3.459624223,13.4907642
H110_CORE3,gr_15_win3,gr15,grave,core,H,H,Advanced4,G_Advanced,126,0.449290061,6.96,219,99.3,22.01073685,96.88987153,43.74923597,0.809,9.997,12.3518,8.15564E+08,8.911457884,3.25079E-02,-1.4880116,931,4.179466976,22.58082987
H110_CONINT,conint_mean,conint,control,interface,H,con,Advanced4,Control,126,0.636525655,7.29,43.98,101.0666667,4.29137872,10.96831271,15.71006474,0.846666667,13.36866667,15.74133333,1.48692E+09,9.172288173,5.25553E-02,-1.279383199,1993.779851,5.615765203,95.05906186
H110,con15_mean,con15,control,core,H,con,Advanced4,Control,126,0.439402038,7.283333333,62.58666667,101.0666667,1.619918974,7.845323866,17.79459268,0.615666667,8.364333333,13.6901,1.75980E+08,8.245462987,5.41420E-03,-2.266465753,1598.221239,5.360819529,79.90469542
J126_INT1,gr_int_win1,grint,grave,interface,J,J,Advanced5_transition,G_Advanced,140,1,7.3,337.6,79.6,73.498123,1670.4,1.034666667,1.285,22.244,17.315,9.27855E+09,9.967480204,7.43092E-02,-1.128957335,450.2,2.473229811,6.794387029
J126_CORE1,gr_15_win1,gr15,grave,core,J,J,Advanced5_transition,G_Advanced,140,0.483940043,6.88,185.9,79.6,17.84094338,546.3669379,65.29336188,0.682,9.025,13.2278,1.23370E+09,9.091210604,1.67607E-02,-1.775708388,501,2.737459315,6.533146209
J126_INT2,gr_int_win2,grint,grave,interface,J,J,Advanced5_transition,G_Advanced,140,0.569855072,6.62,317.1,94,71.04234625,877.8629565,66.39440386,1.034,13.934,13.4766,3.63780E+07,7.560839114,6.27564E-04,-3.202341718,305.8333333,2.808561598,7.282111
J126_CORE2,gr_15_win2,gr15,grave,core,J,J,Advanced5_transition,G_Advanced,140,0.503237198,6.4,135.2,94,10.77599672,125.9512341,31.76841279,0.649,9.316,14.3599,1.06202E+09,9.026131023,1.04442E-01,-0.981124002,473.5090909,3.618864613,14.83770218
J126_INT3,gr_int_win3,grint,grave,interface,J,J,Advanced5_transition,G_Advanced,140,0.82594086,7.06,211.2,98.5,76.87459549,428.730914,178.6500538,1.562,18.67,11.9535,2.52546E+08,8.40234109,4.22716E-03,-2.37395141,459.4666667,3.342623283,12.86379211
J126_CORE3,gr_15_win3,gr15,grave,core,J,J,Advanced5_transition,G_Advanced,140,0.552230686,6.65,320.9,98.5,24.0557877,315.8272035,128.1521654,0.914,10.928,11.9539,4.78909E+08,8.680253107,1.66908E-02,-1.77752259,897.7622951,4.42195717,29.90957084
J126_CONINT,conint_mean,conint,control,interface,J,con,Advanced5_transition,Control,140,0.52874948,7.306666667,46.60666667,100.7,3.432580411,10.75693722,12.85584052,0.837666667,12.75133333,15.37496667,9.85162E+08,8.993507454,4.87868E-02,-1.311697337,2212.599265,5.708356681,112.4333957
